Row Number,Volume,Close Price,Timestamp (EST)
4162,21798,510.3,2024-08-05 08:56:00
4161,77655,511.22,2024-08-05 08:57:00
4160,81756,511.03,2024-08-05 08:58:00
4159,38100,510.92,2024-08-05 08:59:00
4158,40323,510.96,2024-08-05 09:00:00
4157,80032,510.46,2024-08-05 09:01:00
4156,75133,511.32,2024-08-05 09:02:00
4155,73120,512.02,2024-08-05 09:03:00
4154,68322,512.44,2024-08-05 09:04:00
4153,60703,513.09,2024-08-05 09:05:00
4152,151624,514.7,2024-08-05 09:06:00
4151,122660,514.9,2024-08-05 09:07:00
4150,61209,513.31,2024-08-05 09:08:00
4149,28690,513.7,2024-08-05 09:09:00
4148,23298,513.86,2024-08-05 09:10:00
4147,26488,514.24,2024-08-05 09:11:00
4146,79242,514.03,2024-08-05 09:12:00
4145,48684,514.18,2024-08-05 09:13:00
4144,124091,513.77,2024-08-05 09:14:00
4143,46335,513.36,2024-08-05 09:15:00
4142,64791,513.43,2024-08-05 09:16:00
4141,23585,513.03,2024-08-05 09:17:00
4140,21841,513.45,2024-08-05 09:18:00
4139,48973,513.9,2024-08-05 09:19:00
4138,34612,514.25,2024-08-05 09:20:00
4137,166357,514.1,2024-08-05 09:21:00
4136,35606,513.73,2024-08-05 09:22:00
4135,25362,513.75,2024-08-05 09:23:00
4134,26042,513.44,2024-08-05 09:24:00
4133,120424,513.27,2024-08-05 09:25:00
4132,57777,512.61,2024-08-05 09:26:00
4131,57834,512.14,2024-08-05 09:27:00
4130,82568,512.09,2024-08-05 09:28:00
4129,59691,511.71,2024-08-05 09:29:00
4128,3013746.0,510.87,2024-08-05 09:30:00
4127,1128753.0,511.73,2024-08-05 09:31:00
4126,573943,511.17,2024-08-05 09:32:00
4125,659333,512.9,2024-08-05 09:33:00
4124,799888,512.23,2024-08-05 09:34:00
4123,592479,511.9369,2024-08-05 09:35:00
4122,755790,513.065,2024-08-05 09:36:00
4121,696508,513.97,2024-08-05 09:37:00
4120,548853,514,2024-08-05 09:38:00
4119,980573,515.72,2024-08-05 09:39:00
4118,1329780.0,514.2,2024-08-05 09:40:00
4117,1235539.0,513.62,2024-08-05 09:41:00
4116,1649921.0,513.64,2024-08-05 09:42:00
4115,936196,514.04,2024-08-05 09:43:00
4114,996142,514.11,2024-08-05 09:44:00
4113,1117725.0,515.86,2024-08-05 09:45:00
4112,883667,515.83,2024-08-05 09:46:00
4111,754265,516.38,2024-08-05 09:47:00
4110,559113,516.485,2024-08-05 09:48:00
4109,728807,516.91,2024-08-05 09:49:00
4108,685234,517.43,2024-08-05 09:50:00
4107,365093,517.23,2024-08-05 09:51:00
4106,629046,517.47,2024-08-05 09:52:00
4105,581573,516.46,2024-08-05 09:53:00
4104,429388,516.23,2024-08-05 09:54:00
4103,438280,515.88,2024-08-05 09:55:00
4102,407892,516.1,2024-08-05 09:56:00
4101,593004,515.74,2024-08-05 09:57:00
4100,385024,515.81,2024-08-05 09:58:00
4099,329323,515.22,2024-08-05 09:59:00
4098,1266109.0,519.8,2024-08-05 10:00:00
4097,740476,520.785,2024-08-05 10:01:00
4096,661975,519.84,2024-08-05 10:02:00
4095,654983,519.39,2024-08-05 10:03:00
4094,366448,519.32,2024-08-05 10:04:00
4093,445927,518.86,2024-08-05 10:05:00
4092,363414,518.13,2024-08-05 10:06:00
4091,369687,517.71,2024-08-05 10:07:00
4090,312446,517.6,2024-08-05 10:08:00
4089,372932,517.46,2024-08-05 10:09:00
4088,311874,516.725,2024-08-05 10:10:00
4087,259898,517.11,2024-08-05 10:11:00
4086,244704,515.865,2024-08-05 10:12:00
4085,320011,516.86,2024-08-05 10:13:00
4084,310258,517.655,2024-08-05 10:14:00
4083,431547,517.12,2024-08-05 10:15:00
4082,258731,517.08,2024-08-05 10:16:00
4081,290303,517.54,2024-08-05 10:17:00
4080,256724,518.11,2024-08-05 10:18:00
4079,269068,518.23,2024-08-05 10:19:00
4078,292867,517.36,2024-08-05 10:20:00
4077,354891,517.7,2024-08-05 10:21:00
4076,263926,516.86,2024-08-05 10:22:00
4075,407618,515.99,2024-08-05 10:23:00
4074,254012,516.37,2024-08-05 10:24:00
4073,204536,516.92,2024-08-05 10:25:00
4072,216823,516.68,2024-08-05 10:26:00
4071,154797,516,2024-08-05 10:27:00
4070,205109,515.46,2024-08-05 10:28:00
4069,319343,514.64,2024-08-05 10:29:00
4068,318888,514.76,2024-08-05 10:30:00
4067,244897,516.04,2024-08-05 10:31:00
4066,224340,514.98,2024-08-05 10:32:00
4065,141735,516.09,2024-08-05 10:33:00
4064,187886,517.2151,2024-08-05 10:34:00
4063,211345,517.14,2024-08-05 10:35:00
4062,127865,516.935,2024-08-05 10:36:00
4061,249660,516.363,2024-08-05 10:37:00
4060,247924,517.06,2024-08-05 10:38:00
4059,188102,517.13,2024-08-05 10:39:00
4058,248473,516.43,2024-08-05 10:40:00
4057,174157,516.81,2024-08-05 10:41:00
4056,175335,516.89,2024-08-05 10:42:00
4055,195962,516.45,2024-08-05 10:43:00
4054,164635,516.205,2024-08-05 10:44:00
4053,246228,516.81,2024-08-05 10:45:00
4052,151095,516.97,2024-08-05 10:46:00
4051,180410,516.62,2024-08-05 10:47:00
4050,257308,517.17,2024-08-05 10:48:00
4049,124192,516.51,2024-08-05 10:49:00
4048,211503,516.06,2024-08-05 10:50:00
4047,246216,516.63,2024-08-05 10:51:00
4046,197163,517.53,2024-08-05 10:52:00
4045,292179,518.55,2024-08-05 10:53:00
4044,365387,518.5099,2024-08-05 10:54:00
4043,247379,517.88,2024-08-05 10:55:00
4042,187463,517.71,2024-08-05 10:56:00
4041,292798,516.82,2024-08-05 10:57:00
4040,286684,516.39,2024-08-05 10:58:00
4039,190171,516.43,2024-08-05 10:59:00
4038,184909,516.06,2024-08-05 11:00:00
4037,300857,515.51,2024-08-05 11:01:00
4036,159041,515.875,2024-08-05 11:02:00
4035,262442,516.78,2024-08-05 11:03:00
4034,119170,516.42,2024-08-05 11:04:00
4033,177593,516.83,2024-08-05 11:05:00
4032,295704,517.24,2024-08-05 11:06:00
4031,407176,518.32,2024-08-05 11:07:00
4030,412646,519.43,2024-08-05 11:08:00
4029,295175,519.37,2024-08-05 11:09:00
4028,263496,519.27,2024-08-05 11:10:00
4027,359396,520.26,2024-08-05 11:11:00
4026,250523,519.89,2024-08-05 11:12:00
4025,196765,519.25,2024-08-05 11:13:00
4024,181548,519.82,2024-08-05 11:14:00
4023,181012,520.05,2024-08-05 11:15:00
4022,239936,519.49,2024-08-05 11:16:00
4021,235901,520.4,2024-08-05 11:17:00
4020,273527,520.25,2024-08-05 11:18:00
4019,312210,519.65,2024-08-05 11:19:00
4018,230724,520.37,2024-08-05 11:20:00
4017,183151,520.42,2024-08-05 11:21:00
4016,138238,520.5,2024-08-05 11:22:00
4015,157152,520.67,2024-08-05 11:23:00
4014,183159,520.87,2024-08-05 11:24:00
4013,137270,520.82,2024-08-05 11:25:00
4012,126144,520.77,2024-08-05 11:26:00
4011,282905,519.93,2024-08-05 11:27:00
4010,269643,519.94,2024-08-05 11:28:00
4009,152695,519.68,2024-08-05 11:29:00
4008,139571,520.23,2024-08-05 11:30:00
4007,233573,520.025,2024-08-05 11:31:00
4006,220641,520.45,2024-08-05 11:32:00
4005,151617,520.555,2024-08-05 11:33:00
4004,181934,520.15,2024-08-05 11:34:00
4003,295091,519.92,2024-08-05 11:35:00
4002,204155,520.87,2024-08-05 11:36:00
4001,593809,521.79,2024-08-05 11:37:00
4000,229844,521.82,2024-08-05 11:38:00
3999,264848,521.25,2024-08-05 11:39:00
3998,205127,520.87,2024-08-05 11:40:00
3997,240566,520.49,2024-08-05 11:41:00
3996,131288,520.35,2024-08-05 11:42:00
3995,129377,520.02,2024-08-05 11:43:00
3994,98459,520.02,2024-08-05 11:44:00
3993,259126,520.0301,2024-08-05 11:45:00
3992,143782,520.55,2024-08-05 11:46:00
3991,137858,520.33,2024-08-05 11:47:00
3990,122348,520.3101,2024-08-05 11:48:00
3989,142239,519.91,2024-08-05 11:49:00
3988,296117,519.2695,2024-08-05 11:50:00
3987,194372,519.82,2024-08-05 11:51:00
3986,169633,520.2201,2024-08-05 11:52:00
3985,91284,520,2024-08-05 11:53:00
3984,194656,520.32,2024-08-05 11:54:00
3983,80673,520.4399,2024-08-05 11:55:00
3982,198153,520,2024-08-05 11:56:00
3981,173249,520.05,2024-08-05 11:57:00
3980,81888,520.205,2024-08-05 11:58:00
3979,80239,520.4201,2024-08-05 11:59:00
3978,112801,520.2,2024-08-05 12:00:00
3977,353957,519.94,2024-08-05 12:01:00
3976,258972,520.49,2024-08-05 12:02:00
3975,161599,521.24,2024-08-05 12:03:00
3974,92079,520.97,2024-08-05 12:04:00
3973,97834,520.7,2024-08-05 12:05:00
3972,219218,521.13,2024-08-05 12:06:00
3971,81077,521.29,2024-08-05 12:07:00
3970,72608,521.3,2024-08-05 12:08:00
3969,81210,521.31,2024-08-05 12:09:00
3968,120308,521.07,2024-08-05 12:10:00
3967,159941,521.13,2024-08-05 12:11:00
3966,109371,520.92,2024-08-05 12:12:00
3965,105291,521.6,2024-08-05 12:13:00
3964,63783,521.46,2024-08-05 12:14:00
3963,120138,521.68,2024-08-05 12:15:00
3962,129014,521.76,2024-08-05 12:16:00
3961,184374,522.13,2024-08-05 12:17:00
3960,443666,522.02,2024-08-05 12:18:00
3959,119215,522.28,2024-08-05 12:19:00
3958,159471,521.97,2024-08-05 12:20:00
3957,104227,522.11,2024-08-05 12:21:00
3956,99793,522.24,2024-08-05 12:22:00
3955,141483,522.51,2024-08-05 12:23:00
3954,230417,522.71,2024-08-05 12:24:00
3953,154691,522.64,2024-08-05 12:25:00
3952,187006,523.03,2024-08-05 12:26:00
3951,313017,523.2,2024-08-05 12:27:00
3950,274955,523.49,2024-08-05 12:28:00
3949,162675,523.57,2024-08-05 12:29:00
