Row Number,Delta Ask Size,Delta Ask Price,Delta Bid Size,Delta Bid Price,Delta Average of Bid and Ask,Timestamp (EST)
1454,0,-0.13,8,-0.12,-0.12,2024-08-06 11:20 AM
1453,-34,-0.17,10,-0.17,-0.17,2024-08-06 11:21 AM
1452,0,-0.19,-21,-0.2,-0.2,2024-08-06 11:22 AM
1451,39,0.12,20,0.11,0.12,2024-08-06 11:23 AM
1450,8,0.29,60,0.31,0.29,2024-08-06 11:24 AM
1449,-47,-0.27,-70,-0.27,-0.27,2024-08-06 11:25 AM
1448,39,-0.02,-10,-0.03,-0.02,2024-08-06 11:26 AM
1447,-39,0.15,15,0.16,0.16,2024-08-06 11:27 AM
1446,23,-0.25,4,-0.26,-0.26,2024-08-06 11:28 AM
1445,30,-0.32,29,-0.31,-0.31,2024-08-06 11:29 AM
1444,14,-0.35,-14,-0.35,-0.35,2024-08-06 11:30 AM
1443,0,0.17,10,0.18,0.17,2024-08-06 11:31 AM
1442,4,-0.06,-5,-0.06,-0.06,2024-08-06 11:32 AM
1441,47,0.4,9,0.38,0.39,2024-08-06 11:33 AM
1440,-27,0.05,-49,0.06,0.05,2024-08-06 11:34 AM
1439,-18,0.05,70,0.04,0.05,2024-08-06 11:35 AM
1438,-6,-0.2,-35,-0.19,-0.2,2024-08-06 11:36 AM
1437,-9,0.25,35,0.24,0.25,2024-08-06 11:37 AM
1436,11,0.0,-21,0.02,0.01,2024-08-06 11:38 AM
1435,-16,-0.16,22,-0.17,-0.16,2024-08-06 11:39 AM
1434,0,0.15,9,0.14,0.14,2024-08-06 11:40 AM
1433,20,0.03,-31,0.03,0.03,2024-08-06 11:41 AM
1432,-73,0.12,-10,0.12,0.12,2024-08-06 11:42 AM
1431,62,-0.19,-38,-0.18,-0.18,2024-08-06 11:43 AM
1430,0,0.04,56,0.03,0.03,2024-08-06 11:44 AM
1429,6,0.1,-13,0.11,0.11,2024-08-06 11:45 AM
1428,-7,0.08,7,0.07,0.07,2024-08-06 11:46 AM
1427,-8,-0.15,-16,-0.14,-0.14,2024-08-06 11:47 AM
1426,24,0.19,54,0.18,0.18,2024-08-06 11:48 AM
1425,-32,0.02,-50,0.03,0.02,2024-08-06 11:49 AM
1424,35,0.38,9,0.37,0.38,2024-08-06 11:50 AM
1423,-23,0.09,-57,0.09,0.09,2024-08-06 11:51 AM
1422,0,-0.02,50,-0.02,-0.02,2024-08-06 11:52 AM
1421,-13,0.12,-35,0.11,0.11,2024-08-06 11:53 AM
1420,-4,0.23,4,0.23,0.24,2024-08-06 11:54 AM
1419,-40,-0.16,18,-0.15,-0.16,2024-08-06 11:55 AM
1418,0,0.13,-6,0.12,0.13,2024-08-06 11:56 AM
1417,1,0.07,0,0.06,0.06,2024-08-06 11:57 AM
1416,40,-0.05,-32,-0.04,-0.04,2024-08-06 11:58 AM
1415,-1,-0.22,32,-0.22,-0.23,2024-08-06 11:59 AM
1414,8,0.29,3,0.29,0.3,2024-08-06 12:00 PM
1413,-39,0.08,0,0.08,0.07,2024-08-06 12:01 PM
1412,25,0.1,5,0.07,0.09,2024-08-06 12:02 PM
1411,22,-0.04,-10,-0.03,-0.04,2024-08-06 12:03 PM
1410,-24,-0.09,14,-0.1,-0.09,2024-08-06 12:04 PM
1409,-20,-0.04,-23,-0.02,-0.03,2024-08-06 12:05 PM
1408,-4,0.06,11,0.07,0.07,2024-08-06 12:06 PM
1407,26,0.13,-6,0.11,0.12,2024-08-06 12:07 PM
1406,-9,-0.2,7,-0.19,-0.2,2024-08-06 12:08 PM
1405,15,-0.01,-1,-0.01,-0.01,2024-08-06 12:09 PM
1404,-6,-0.03,-2,-0.03,-0.03,2024-08-06 12:10 PM
1403,-17,0.02,-38,0.02,0.02,2024-08-06 12:11 PM
1402,-4,0.15,24,0.16,0.15,2024-08-06 12:12 PM
1401,31,0.01,10,-0.01,0.0,2024-08-06 12:13 PM
1400,1,-0.07,-25,-0.06,-0.06,2024-08-06 12:14 PM
1399,-34,0.13,30,0.13,0.13,2024-08-06 12:15 PM
1398,31,0.23,-15,0.22,0.22,2024-08-06 12:16 PM
1397,-41,0.05,-2,0.06,0.06,2024-08-06 12:17 PM
1396,50,0.03,-12,0.03,0.03,2024-08-06 12:18 PM
1395,-13,-0.15,5,-0.15,-0.15,2024-08-06 12:19 PM
1394,29,0.05,-14,0.05,0.05,2024-08-06 12:20 PM
1393,-29,-0.04,33,-0.04,-0.04,2024-08-06 12:21 PM
1392,-26,-0.12,4,-0.11,-0.11,2024-08-06 12:22 PM
1391,23,-0.13,12,-0.14,-0.14,2024-08-06 12:23 PM
1390,114,-0.05,-26,-0.07,-0.06,2024-08-06 12:24 PM
1389,-49,0.05,4,0.04,0.05,2024-08-06 12:25 PM
1388,136,-0.28,149,-0.32,-0.31,2024-08-06 12:26 PM
1387,-207,0.0,133,0.01,0.01,2024-08-06 12:27 PM
1386,-14,0.02,-30,0.0,0.01,2024-08-06 12:28 PM
1385,78,-0.01,-210,0.0,-0.01,2024-08-06 12:29 PM
1384,40,0.09,-38,0.09,0.09,2024-08-06 12:30 PM
1383,33,-0.03,89,-0.07,-0.05,2024-08-06 12:31 PM
1382,-72,0.17,539,0.17,0.18,2024-08-06 12:32 PM
1381,-86,-0.02,-418,0.01,-0.01,2024-08-06 12:33 PM
1380,174,0.02,-111,0.02,0.02,2024-08-06 12:34 PM
1379,-161,-0.05,-36,-0.03,-0.04,2024-08-06 12:35 PM
1378,11,-0.13,150,-0.14,-0.13,2024-08-06 12:36 PM
1377,-5,-0.05,220,-0.08,-0.07,2024-08-06 12:37 PM
1376,363,-0.03,-143,-0.02,-0.02,2024-08-06 12:38 PM
1375,-322,0.04,-224,0.01,0.02,2024-08-06 12:39 PM
1374,-50,0.07,-89,0.13,0.1,2024-08-06 12:40 PM
1373,23,0.07,230,0.02,0.04,2024-08-06 12:41 PM
1372,-21,0.06,369,0.06,0.07,2024-08-06 12:42 PM
1371,1094,0.04,-494,0.04,0.04,2024-08-06 12:43 PM
1370,-42,0.02,-88,0.02,0.01,2024-08-06 12:44 PM
1369,-910,-0.15,-6,-0.13,-0.14,2024-08-06 12:45 PM
1368,104,0.14,301,0.11,0.13,2024-08-06 12:46 PM
1367,747,0.11,-193,0.08,0.09,2024-08-06 12:47 PM
1366,-191,-0.12,-105,-0.07,-0.09,2024-08-06 12:48 PM
1365,-360,0.04,218,0.02,0.03,2024-08-06 12:49 PM
1364,-209,-0.12,81,-0.13,-0.12,2024-08-06 12:50 PM
1363,32,0.09,-297,0.13,0.1,2024-08-06 12:51 PM
1362,29,0.07,234,0.04,0.06,2024-08-06 12:52 PM
1361,-295,0.46,-220,0.44,0.45,2024-08-06 12:53 PM
1360,11,0.06,-22,0.15,0.1,2024-08-06 12:54 PM
1359,-20,0.12,-2,0.15,0.14,2024-08-06 12:55 PM
1358,9,0.02,1,0.03,0.02,2024-08-06 12:56 PM
1357,23,0.02,17,0.02,0.03,2024-08-06 12:57 PM
1356,-4,0.12,-14,0.11,0.11,2024-08-06 12:58 PM
1355,-24,-0.12,5,-0.11,-0.11,2024-08-06 12:59 PM
1354,37,-0.1,24,-0.1,-0.1,2024-08-06 01:00 PM
1353,-51,-0.05,-23,-0.04,-0.05,2024-08-06 01:01 PM
1352,21,0.21,795,0.08,0.14,2024-08-06 01:02 PM
1351,491,0.14,-809,0.17,0.16,2024-08-06 01:03 PM
1350,-484,-0.04,595,-0.03,-0.04,2024-08-06 01:04 PM
1349,12,-0.06,-536,-0.01,-0.03,2024-08-06 01:05 PM
1348,490,-0.13,-24,-0.17,-0.15,2024-08-06 01:06 PM
1347,-509,0.13,14,0.16,0.15,2024-08-06 01:07 PM
1346,515,-0.18,66,-0.26,-0.23,2024-08-06 01:08 PM
1345,-517,0.09,394,0.12,0.11,2024-08-06 01:09 PM
1344,1,-0.03,-477,-0.02,-0.03,2024-08-06 01:10 PM
1343,15,-0.13,-2,-0.12,-0.12,2024-08-06 01:11 PM
1342,-16,0.04,485,-0.01,0.02,2024-08-06 01:12 PM
1341,-4,0.12,-525,0.16,0.14,2024-08-06 01:13 PM
1340,40,-0.04,431,-0.06,-0.05,2024-08-06 01:14 PM
1339,6,-0.04,344,-0.07,-0.06,2024-08-06 01:15 PM
1338,-28,-0.1,-270,-0.01,-0.05,2024-08-06 01:16 PM
1337,4,0.08,-466,0.02,0.05,2024-08-06 01:17 PM
1336,0,0.0,-3,0.02,0.0,2024-08-06 01:18 PM
