Row Number,Delta Ask Size,Delta Ask Price,Delta Bid Size,Delta Bid Price,Delta Average of Bid and Ask,Timestamp (EST)
1503,53,-0.23,-48,-0.23,-0.23,2024-08-06 10:31 AM
1502,-53,0.01,14,0.01,0.02,2024-08-06 10:32 AM
1501,33,0.12,0,0.13,0.12,2024-08-06 10:33 AM
1500,75,-0.06,11,-0.09,-0.08,2024-08-06 10:34 AM
1499,-41,0.36,-50,0.37,0.37,2024-08-06 10:35 AM
1498,-67,0.27,30,0.29,0.28,2024-08-06 10:36 AM
1497,99,-0.09,0,-0.12,-0.1,2024-08-06 10:37 AM
1496,-15,0.36,-1,0.37,0.36,2024-08-06 10:38 AM
1495,4,0.03,16,0.03,0.03,2024-08-06 10:39 AM
1494,-21,-0.15,-15,-0.15,-0.15,2024-08-06 10:40 AM
1493,-28,0.14,-13,0.15,0.14,2024-08-06 10:41 AM
1492,46,0.05,14,0.04,0.05,2024-08-06 10:42 AM
1491,-78,0.09,-40,0.09,0.09,2024-08-06 10:43 AM
1490,27,0.11,38,0.11,0.11,2024-08-06 10:44 AM
1489,-4,0.08,-8,0.1,0.09,2024-08-06 10:45 AM
1488,40,0.09,8,0.07,0.08,2024-08-06 10:46 AM
1487,-70,0.29,-19,0.28,0.29,2024-08-06 10:47 AM
1486,40,0.29,2,0.28,0.28,2024-08-06 10:48 AM
1485,-21,-0.11,-2,-0.1,-0.1,2024-08-06 10:49 AM
1484,21,0.12,2,0.11,0.11,2024-08-06 10:50 AM
1483,9,-0.28,1,-0.27,-0.28,2024-08-06 10:51 AM
1482,-42,-0.02,8,-0.01,-0.01,2024-08-06 10:52 AM
1481,33,0.16,-9,0.15,0.16,2024-08-06 10:53 AM
1480,0,0.01,-15,0.01,0.01,2024-08-06 10:54 AM
1479,-12,-0.13,3,-0.14,-0.14,2024-08-06 10:55 AM
1478,-21,-0.1,46,-0.09,-0.1,2024-08-06 10:56 AM
1477,52,-0.03,-34,-0.04,-0.03,2024-08-06 10:57 AM
1476,-59,-0.09,-40,-0.07,-0.08,2024-08-06 10:58 AM
1475,7,-0.15,46,-0.15,-0.15,2024-08-06 10:59 AM
1474,33,0.22,-6,0.21,0.21,2024-08-06 11:00 AM
1473,7,-0.03,7,-0.03,-0.03,2024-08-06 11:01 AM
1472,-9,0.13,-47,0.15,0.14,2024-08-06 11:02 AM
1471,-37,-0.01,40,-0.03,-0.02,2024-08-06 11:03 AM
1470,6,-0.05,-2,-0.04,-0.04,2024-08-06 11:04 AM
1469,35,-0.03,5,-0.04,-0.03,2024-08-06 11:05 AM
1468,12,0.12,0,0.12,0.11,2024-08-06 11:06 AM
1467,-24,-0.07,-42,-0.06,-0.06,2024-08-06 11:07 AM
1466,24,0.01,53,0.0,0.0,2024-08-06 11:08 AM
1465,-12,0.04,-24,0.05,0.05,2024-08-06 11:09 AM
1464,11,-0.04,18,-0.05,-0.05,2024-08-06 11:10 AM
1463,-12,-0.38,-19,-0.38,-0.37,2024-08-06 11:11 AM
1462,19,-0.06,18,-0.06,-0.07,2024-08-06 11:12 AM
1461,-52,-0.07,0,-0.06,-0.06,2024-08-06 11:13 AM
1460,-8,0.06,75,0.06,0.06,2024-08-06 11:14 AM
1459,31,-0.14,-122,-0.14,-0.14,2024-08-06 11:15 AM
1458,-31,-0.37,31,-0.36,-0.36,2024-08-06 11:16 AM
1457,22,0.01,8,0.01,0.0,2024-08-06 11:17 AM
1456,-22,0.3,6,0.29,0.3,2024-08-06 11:18 AM
1455,34,0.14,-23,0.14,0.14,2024-08-06 11:19 AM
