Volume,Close Price,Timestamp (EST)
65335,541.4,2024-08-14 10:08:00
58377,541.55,2024-08-14 10:09:00
61545,541.35,2024-08-14 10:10:00
112247,540.95,2024-08-14 10:11:00
111791,540.91,2024-08-14 10:12:00
54171,540.99,2024-08-14 10:13:00
63718,541.18,2024-08-14 10:14:00
134460,541.235,2024-08-14 10:15:00
63302,541.2644,2024-08-14 10:16:00
62986,541.2,2024-08-14 10:17:00
57920,541.5,2024-08-14 10:18:00
34893,541.52,2024-08-14 10:19:00
70954,541.48,2024-08-14 10:20:00
63053,541.49,2024-08-14 10:21:00
106532,541.6,2024-08-14 10:22:00
103776,541.92,2024-08-14 10:23:00
113881,541.93,2024-08-14 10:24:00
62280,541.89,2024-08-14 10:25:00
64845,541.55,2024-08-14 10:26:00
65163,541.65,2024-08-14 10:27:00
32801,541.67,2024-08-14 10:28:00
53563,541.865,2024-08-14 10:29:00
49109,541.9,2024-08-14 10:30:00
82843,541.58,2024-08-14 10:31:00
104222,540.98,2024-08-14 10:32:00
232154,540.6701,2024-08-14 10:33:00
169167,540.23,2024-08-14 10:34:00
84937,540.4899,2024-08-14 10:35:00
78852,540.61,2024-08-14 10:36:00
56452,540.9,2024-08-14 10:37:00
53052,540.96,2024-08-14 10:38:00
75728,540.97,2024-08-14 10:39:00
89950,541.4501,2024-08-14 10:40:00
89437,541.45,2024-08-14 10:41:00
52979,541.37,2024-08-14 10:42:00
33878,541.3,2024-08-14 10:43:00
31453,541.19,2024-08-14 10:44:00
52439,541.22,2024-08-14 10:45:00
42927,541.27,2024-08-14 10:46:00
67118,541.72,2024-08-14 10:47:00
54250,541.56,2024-08-14 10:48:00
84876,541.92,2024-08-14 10:49:00
179907,541.8301,2024-08-14 10:50:00
108682,541.7,2024-08-14 10:51:00
52394,541.94,2024-08-14 10:52:00
75142,542.06,2024-08-14 10:53:00
47625,542.1201,2024-08-14 10:54:00
101063,542.24,2024-08-14 10:55:00
81525,542.1,2024-08-14 10:56:00
59383,542.22,2024-08-14 10:57:00
33551,542.36,2024-08-14 10:58:00
47705,542.36,2024-08-14 10:59:00
72328,542.43,2024-08-14 11:00:00
30739,542.41,2024-08-14 11:01:00
100279,542.45,2024-08-14 11:02:00
83877,542.715,2024-08-14 11:03:00
97334,542.73,2024-08-14 11:04:00
69510,542.62,2024-08-14 11:05:00
53282,542.43,2024-08-14 11:06:00
50812,542.42,2024-08-14 11:07:00
88410,542.355,2024-08-14 11:08:00
37589,542.37,2024-08-14 11:09:00
43021,542.625,2024-08-14 11:10:00
